Transaction_ID,Amount,Hour,Merchant_Category,Distance_km,Device_Score,Daily_Transactions,Failed_Logins,International,Weekend,Account_Age_Months,Fraud
100001,78534.08,21,Shopping,222.6,17,23,5,0,0,7,1
100002,14997.97,19,Grocery,2167.4,1,13,5,0,0,33,1
100003,87342.26,5,Shopping,3536.5,26,22,9,1,0,1,1
100004,36955.2,11,Travel,1155.0,21,14,3,1,0,7,1
100005,97819.75,9,Shopping,3675.7,34,15,8,0,0,36,1
100006,104096.29,7,Grocery,2929.0,4,10,5,1,0,6,1
100007,57142.18,22,Shopping,4187.1,10,31,7,0,0,18,1
100008,75050.07,20,Shopping,938.6,15,18,9,1,0,18,1
100009,83730.64,8,Grocery,4230.0,3,22,2,1,1,26,1
100010,113434.62,4,Travel,4394.2,20,21,9,1,1,30,1
100011,90673.73,4,Restaurant,2741.0,37,35,8,1,0,15,1
100012,91914.95,12,Restaurant,4319.4,9,18,8,0,0,25,1
100013,65848.15,3,Travel,4858.3,0,15,10,1,0,22,1
100014,57178.23,20,Restaurant,4773.7,16,40,4,0,0,20,1
100015,22576.52,3,Travel,3836.3,34,8,7,1,0,2,1
100016,100641.54,2,Restaurant,1606.8,3,23,3,0,0,32,1
100017,19765.02,17,Shopping,2428.9,35,18,6,1,0,14,1
100018,86989.13,7,Electronics,2055.1,23,36,10,1,1,8,1
100019,7418.94,7,Grocery,2814.2,37,22,2,0,0,4,1
100020,103858.07,4,Shopping,447.2,15,25,9,0,0,35,1
100021,70669.96,21,Fuel,2416.1,30,34,5,0,0,7,1
100022,52276.76,3,Electronics,4332.8,3,14,2,1,1,22,1
100023,66672.86,14,Restaurant,786.9,11,25,9,0,1,5,1
100024,79996.66,15,Fuel,2748.9,0,13,5,0,1,27,1
100025,51119.63,9,Fuel,387.3,24,8,8,1,0,30,1
100026,89008.11,1,Restaurant,3938.5,31,17,5,1,0,14,1
100027,12010.12,16,Grocery,1636.7,3,38,10,0,0,4,1
100028,12879.95,19,Grocery,433.0,15,33,3,0,0,3,1
100029,72122.31,12,Electronics,2661.6,16,21,7,0,0,17,1
100030,39499.66,17,Electronics,1649.3,4,8,9,0,0,5,1
100031,20232.51,14,Restaurant,1810.1,4,23,7,1,0,11,1
100032,75342.94,4,Travel,4937.4,33,8,10,1,1,7,1
100033,17309.14,21,Shopping,2810.8,17,26,5,1,0,14,1
100034,63122.04,0,Travel,1330.5,3,13,8,1,0,3,1
100035,78268.04,2,Shopping,1383.6,28,35,10,0,0,8,1
100036,67742.88,9,Travel,4189.5,37,17,8,0,0,3,1
100037,96554.07,17,Fuel,4317.4,22,21,5,0,0,23,1
100038,91189.93,5,Shopping,4636.2,15,18,4,1,0,2,1
100039,94974.45,1,Fuel,2117.4,15,25,4,0,1,25,1
100040,98907.46,12,Travel,2355.5,19,22,5,0,1,13,1
100041,12983.39,3,Travel,3889.3,22,40,8,1,1,2,1
100042,115691.45,19,Restaurant,1400.8,6,35,7,1,1,28,1
100043,108443.04,13,Grocery,1031.4,2,35,2,0,0,24,1
100044,110888.65,10,Fuel,3153.5,7,27,10,1,0,27,1
100045,68757.43,0,Travel,1040.0,24,19,6,1,0,36,1
100046,54437.14,16,Fuel,2941.9,20,37,9,1,0,14,1
100047,115380.68,7,Shopping,3706.2,5,26,10,1,0,6,1
100048,97754.73,13,Shopping,822.0,2,23,9,0,0,30,1
100049,87609.78,13,Electronics,1981.5,25,23,4,0,1,7,1
100050,115166.09,14,Shopping,2638.0,3,23,3,1,0,9,1
100051,69276.41,23,Fuel,1654.8,28,40,8,1,0,11,1
100052,91454.33,2,Shopping,4215.3,17,39,5,1,0,29,1
100053,36247.24,12,Shopping,1666.6,34,13,4,0,1,15,1
100054,29604.58,13,Fuel,2132.9,21,37,8,0,0,14,1
100055,72169.13,9,Fuel,3508.1,36,32,9,0,0,23,1
100056,114644.49,13,Fuel,2153.2,34,22,9,0,1,18,1
100057,43654.9,0,Fuel,3427.8,25,18,9,0,0,35,1
100058,81244.97,8,Fuel,511.3,27,16,9,0,0,4,1
100059,57290.42,15,Grocery,1753.8,24,25,8,1,0,6,1
100060,10989.84,6,Grocery,4764.4,14,12,2,0,0,16,1
100061,32432.67,5,Restaurant,2420.4,7,21,9,1,0,24,1
100062,91011.45,18,Shopping,661.2,10,27,3,0,0,20,1
100063,48160.3,21,Restaurant,4713.2,12,12,5,0,0,20,1
100064,96566.13,2,Restaurant,2873.1,2,30,10,1,0,24,1
100065,6455.0,22,Electronics,2158.3,31,14,8,1,0,30,1
100066,89386.46,10,Electronics,4830.8,17,38,9,1,0,18,1
100067,14966.23,15,Travel,4420.0,15,37,8,1,1,2,1
100068,29393.78,6,Grocery,4009.4,21,25,6,0,1,34,1
100069,51739.23,2,Travel,2820.4,15,38,9,1,1,2,1
100070,84555.52,23,Restaurant,1600.4,37,31,9,1,0,28,1
100071,85828.32,3,Shopping,1427.5,16,22,3,0,0,21,1
100072,92651.81,6,Travel,1007.2,13,38,6,1,1,7,1
100073,25635.78,17,Travel,169.3,34,16,6,0,0,4,1
100074,19522.14,15,Fuel,4355.5,31,14,2,1,0,31,1
100075,116032.23,2,Restaurant,1337.1,30,15,3,1,0,32,1
100076,11165.04,17,Fuel,831.1,36,27,3,0,0,8,1
100077,95935.2,18,Fuel,1205.9,33,32,9,1,0,20,1
100078,76418.14,5,Electronics,3087.2,6,21,5,1,1,6,1
100079,13632.46,9,Shopping,113.1,28,38,6,0,1,15,1
100080,103854.77,17,Electronics,448.8,14,24,5,1,0,8,1
100081,109467.32,14,Grocery,4150.5,4,11,4,1,0,19,1
100082,39970.49,2,Restaurant,2072.3,17,40,10,1,1,29,1
100083,54683.3,21,Travel,1679.4,16,9,3,0,0,2,1
100084,92757.54,20,Fuel,958.4,33,36,6,0,0,28,1
100085,59051.2,22,Fuel,2100.9,20,14,4,1,0,27,1
100086,113697.26,8,Travel,4086.5,35,10,9,0,1,21,1
100087,93843.01,16,Travel,4338.1,0,37,8,0,0,13,1
100088,62326.71,14,Shopping,2266.0,3,21,6,0,0,19,1
100089,8319.99,13,Grocery,3187.1,15,18,6,0,1,36,1
100090,101761.65,22,Travel,656.0,7,17,9,1,0,33,1
100091,60487.45,23,Electronics,2413.9,29,17,8,0,0,33,1
100092,36768.45,9,Shopping,3971.0,26,29,10,1,0,1,1
100093,72497.84,10,Restaurant,4994.6,31,17,9,1,0,23,1
100094,48379.16,1,Travel,4671.0,12,23,8,0,0,27,1
100095,86101.21,16,Restaurant,4075.9,24,17,9,0,0,9,1
100096,16541.93,20,Electronics,4240.7,6,37,2,0,1,27,1
100097,94875.41,12,Travel,1398.6,39,33,3,1,0,35,1
100098,107055.45,7,Shopping,2490.9,34,10,3,0,1,19,1
100099,117508.84,1,Travel,3825.8,6,36,4,1,0,2,1
100100,38737.29,5,Electronics,1936.7,9,23,10,1,1,12,1
100101,105146.55,20,Travel,3136.6,15,39,4,0,0,30,1
100102,81686.68,14,Travel,4504.7,29,26,10,0,0,5,1
100103,39402.74,15,Grocery,4813.9,16,37,6,0,1,25,1
100104,70771.11,18,Shopping,2916.6,18,9,8,1,0,1,1
100105,116964.32,20,Electronics,4562.0,31,26,5,1,0,15,1
100106,82942.91,1,Restaurant,3632.5,8,14,2,1,0,29,1
100107,20112.36,17,Travel,4557.2,20,34,4,0,0,9,1
100108,110051.0,14,Grocery,4169.3,16,38,6,1,1,8,1
100109,116147.52,8,Restaurant,4314.7,25,31,3,1,1,1,1
100110,47387.35,15,Grocery,3770.2,16,32,7,0,0,15,1
100111,113464.45,20,Fuel,1707.2,39,22,3,1,1,20,1
100112,10214.88,4,Fuel,282.3,31,15,3,0,0,35,1
100113,82105.92,15,Restaurant,3741.4,34,34,4,1,0,7,1
100114,114424.98,11,Grocery,260.3,23,21,9,1,0,16,1
100115,47243.52,3,Fuel,4518.3,22,11,8,1,1,13,1
100116,29392.17,18,Electronics,3233.5,1,11,7,0,1,9,1
100117,92993.1,8,Electronics,1115.1,13,22,7,0,0,1,1
100118,67124.78,7,Restaurant,4012.7,7,9,4,0,0,23,1
100119,25038.31,11,Restaurant,356.8,26,15,3,1,0,29,1
100120,56980.62,20,Grocery,1185.6,39,10,10,1,1,30,1
100121,60082.92,10,Restaurant,2067.9,6,39,9,0,1,6,1
100122,19512.03,16,Restaurant,3159.2,37,28,8,1,0,30,1
100123,96206.05,13,Travel,660.6,35,21,8,1,0,15,1
100124,50853.97,4,Shopping,3675.1,20,35,7,1,0,24,1
100125,12720.33,17,Grocery,4175.7,5,35,3,1,0,9,1
100126,69582.44,9,Restaurant,1715.3,7,34,7,1,0,4,1
100127,16914.07,17,Travel,2586.3,9,38,5,0,1,23,1
100128,37035.34,8,Shopping,1208.2,27,9,6,0,0,12,1
100129,110976.81,23,Shopping,1820.0,11,17,8,0,0,10,1
100130,15552.13,11,Travel,2699.4,24,34,9,1,0,11,1
100131,94336.1,21,Grocery,2881.2,5,11,4,0,1,4,1
100132,81122.95,3,Travel,2479.7,28,34,6,0,0,33,1
100133,37573.34,19,Grocery,3424.6,31,27,2,0,1,26,1
100134,39663.23,0,Fuel,1135.0,8,24,6,1,0,8,1
100135,25204.9,12,Shopping,1963.0,14,40,10,1,1,5,1
100136,7155.28,3,Fuel,4613.7,20,35,8,1,1,19,1
100137,42348.34,3,Electronics,4026.5,39,37,7,0,0,28,1
100138,51051.73,2,Restaurant,485.4,19,29,5,1,0,11,1
100139,66019.55,4,Travel,1050.1,22,30,4,0,1,7,1
100140,74275.88,21,Restaurant,3825.1,4,19,9,1,0,29,1
